Title	URL	Type	Notes
2022-10-24: BER update	https://docs.google.com/presentation/d/1Q6FV8VGCxTsVkGeUfaR-1c8CoWIRUNxpizAq2QdIbkU	Google Slides	BER project update (Oct 2022)
2025_DOE_BER_CM_REE	https://drive.google.com/drive/folders/1WAmbFZuMw8-Oq6GxTe63XxJP1wmihmrM	Folder	2025 DOE BER Critical Minerals & REE project folder
Agenda Kickoff Meeting for FY25 CMM Projects.pdf	https://drive.google.com/file/d/1K_HHrQC2DlsYEb2MTh67carptXVGE3ZL	PDF	FY25 CMM kickoff meeting agenda
BER CMM 2025 AI	https://docs.google.com/document/d/1Zd_zSUCzY9nBbgR0Q-co8otFSid0RB57Glnk8sHUwSc	Google Doc	BER Critical Minerals & Materials AI project document (2025)
BER CMM AI Project Map	https://docs.google.com/spreadsheets/d/1y36vxDcfs6ZxqelfpxJMC5Nw91Q5aqGVZedZ3kpGEnA	Google Sheet	Project mapping/organization for CMM AI work
BER CMM AI Task 1.1	https://docs.google.com/presentation/d/1nwbHXUDZXv1YxPM2a5SJomLmIv-huEHcFKNzZr8o9mg	Google Slides	Task 1.1 presentation for BER CMM AI
BER CMM Data for AI - for editing	https://docs.google.com/spreadsheets/d/1h-kOdyvVb1EJPqgTiklTN9Z8br_8bP8KGmxA19clo7Q	Google Sheet	Active data compilation for CMM AI (editable version)
BER CMM Data for AI OBSOLETE	https://docs.google.com/spreadsheets/d/1vUofqjZFBkYO-MM01BnE65ErMgTHhEX7ef6dVBCCv0I	Google Sheet	Superseded version of CMM AI data
BER_Data_Transfer_Meeting_20231204	https://docs.google.com/document/d/1F76pAZP3N5qdspgDqLDDqPXVBzSnSgoacM-5uCK8NO4	Google Doc	BER data transfer meeting notes (December 2023)
Biolog OntoGPT schema	https://docs.google.com/document/d/12StdeehVcpPOQq9HvHskH1OIovcgKQnxr3VtZkl06rs	Google Doc	OntoGPT schema design for Biolog data extraction
Biolog OntoGPT simple	https://docs.google.com/document/d/17P1AaEFcXLKQZp844C9VpzRx5U0VXnSfvdjkCQFZR2U	Google Doc	Simplified Biolog phenotype extraction with OntoGPT
Biome features: semantically labeled abundances and friends	https://docs.google.com/presentation/d/1bkasa14pEQ5jby2zgV7y68wskco2bTnPzaAmqhcMrIs	Google Slides	Presentation on biome feature semantic labeling
CMM_genomes	https://drive.google.com/drive/folders/1HadLkfQ6mRJzqf3kISsIvPD4UXKJDrEY	Folder	Folder containing CMM-related genome data
