metpo_id	metpo_label	has_definition	has_def_source	best_match_distance	best_match_ontology	best_match_label	best_match_iri	proposed_definition	proposed_def_source	confidence_level	action_needed
METPO:1000059	phenotype	True	True	0.0	FYPO	phenotype	http://purl.obolibrary.org/obo/FYPO_0000001			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000060	metabolism	False	False	0.1624	DOI	Metabolism	<http://doi.org/10.1601/Metabolism>			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000127	GC content	True	False	0.6703	D3O	GCContent	<https://purl.dsmz.de/schema/GCContent>	The percentage of guanine (G) and cytosine (C) bases in a DNA or RNA molecule, often used as an indicator of stability and gene expression potential in a sequence.	D3O:<https://purl.dsmz.de/schema/GCContent>	low	Low confidence - manual definition preferred
METPO:1000186	material entity	True	False	0.0	BFO	material entity	http://purl.obolibrary.org/obo/BFO_0000040			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000188	quality	True	True	0.0	BFO	quality	http://purl.obolibrary.org/obo/BFO_0000019			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000232	pH delta	True	False	0.7105	UO	pH	http://purl.obolibrary.org/obo/UO_0000196			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000303	temperature delta	True	False	0.6863	MEO	temperature state	<https://mdatahub.org/data/meo/MEO_0001242>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000304	temperature optimum	True	False	0.2702	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000306	temperature range	True	False	0.6412	DOI	Temperature condition	<http://doi.org/10.1601/TemperatureCondition>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000331	pH optimum	True	False	0.3191	MICRO	pH optimum quality	http://purl.obolibrary.org/obo/MICRO_0001545			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000332	pH range	True	False	0.585	UO	pH	http://purl.obolibrary.org/obo/UO_0000196			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000333	NaCl optimum	True	False	0.6856	MICRO	salinity optimum quality	http://purl.obolibrary.org/obo/MICRO_0001312			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000334	NaCl range	True	False	0.7943	MCO	ZnCl2 0.2 to 1 mM	http://purl.obolibrary.org/obo/MCO_0000242			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000335	NaCl delta	True	False							none	No matches found - manual definition required
METPO:1000429	GC low	True	False							none	No matches found - manual definition required
METPO:1000430	GC mid1	True	False	0.7523	GO	CMG complex	http://purl.obolibrary.org/obo/GO_0071162			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000431	GC mid2	True	False							none	No matches found - manual definition required
METPO:1000432	GC high	True	False							none	No matches found - manual definition required
METPO:1000441	temperature optimum very low	True	False	0.5156	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000442	temperature optimum low	True	False	0.3663	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000443	temperature optimum mid1	True	False	0.6342	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000444	temperature optimum mid2	True	False	0.5922	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000445	temperature optimum mid3	True	False	0.5731	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000446	temperature optimum mid4	True	False	0.5692	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000447	temperature optimum high	True	False	0.3202	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000448	temperature range very low	True	False	0.5952	DOI	Extreme low temperature condition	<http://doi.org/10.1601/ExtremeLowTemperatureCondition>			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000449	temperature range low	True	False	0.6703	DOI	Mid range temperature condition	<http://doi.org/10.1601/MidRangeTemperatureCondition>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000450	temperature range mid1	True	False	0.6581	DOI	Mid range temperature condition	<http://doi.org/10.1601/MidRangeTemperatureCondition>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000451	temperature range mid2	True	False	0.6812	DOI	Mid range temperature condition	<http://doi.org/10.1601/MidRangeTemperatureCondition>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000452	temperature range mid3	True	False							none	No matches found - manual definition required
METPO:1000453	temperature range mid4	True	False							none	No matches found - manual definition required
METPO:1000454	temperature range high	True	False	0.6568	DOI	Extreme high temperature condition	<http://doi.org/10.1601/ExtremeHighTemperatureCondition>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000455	pH optimum low	True	False	0.4294	MICRO	pH optimum quality	http://purl.obolibrary.org/obo/MICRO_0001545			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000456	pH optimum mid1	True	False	0.5566	MICRO	pH optimum quality	http://purl.obolibrary.org/obo/MICRO_0001545			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000457	pH optimum mid2	True	False	0.5288	MICRO	pH optimum quality	http://purl.obolibrary.org/obo/MICRO_0001545			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000458	pH optimum high	True	False	0.3081	MICRO	pH optimum quality	http://purl.obolibrary.org/obo/MICRO_0001545			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000459	pH range very low	True	False							none	No matches found - manual definition required
METPO:1000460	pH range low	True	False	0.6645	FYPO	sensitive to low pH	http://purl.obolibrary.org/obo/FYPO_0001989			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000461	pH range mid1	True	False	0.7463	D3O	Minimum pH	<https://purl.dsmz.de/schema/MinimumPH>			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000462	pH range mid2	True	False	0.7312	MICRO	moderately acidic pH	http://purl.obolibrary.org/obo/MICRO_0001405			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000463	pH range mid3	True	False	0.5873	MCO	pH 3.5	http://purl.obolibrary.org/obo/MCO_0000720			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000464	pH range high	True	False	0.6687	FYPO	sensitive to high pH	http://purl.obolibrary.org/obo/FYPO_0001987			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000465	NaCl optimum low	True	False	0.7053	MICRO	salinity optimum quality	http://purl.obolibrary.org/obo/MICRO_0001312			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000466	NaCl optimum mid1	True	False	0.7717	MCO	ZnCl2 1 mM	http://purl.obolibrary.org/obo/MCO_0000243			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000467	NaCl optimum mid2	True	False							none	No matches found - manual definition required
METPO:1000468	NaCl optimum high	True	False	0.6939	MICRO	salinity optimum quality	http://purl.obolibrary.org/obo/MICRO_0001312			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000469	NaCl range low	True	False							none	No matches found - manual definition required
METPO:1000470	NaCl range mid1	True	False	0.7769	MCO	ZnCl2 0.2 to 1 mM	http://purl.obolibrary.org/obo/MCO_0000242			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000471	NaCl range mid2	True	False							none	No matches found - manual definition required
METPO:1000472	NaCl range high	True	False							none	No matches found - manual definition required
METPO:1000473	pH delta very low	True	False	0.7104	MCO	pH 3.5	http://purl.obolibrary.org/obo/MCO_0000720			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000474	pH delta low	True	False	0.7264	GO	pH reduction	http://purl.obolibrary.org/obo/GO_0045851			low	Low confidence - manual definition preferred - but no definition available in match
METPO:1000475	pH delta mid1	True	False							none	No matches found - manual definition required
METPO:1000476	pH delta mid2	True	False							none	No matches found - manual definition required
METPO:1000477	pH delta mid3	True	False	0.749	MCO	pH 3.5	http://purl.obolibrary.org/obo/MCO_0000720			low	Low confidence - manual definition preferred - but no definition available in match
