Channel	Members	Topic	Purpose
#envo-development	25		General discussion on development and projects. When things get detailed or long, farm out the discussion to a more specific (or new) channel
#everyone	25	Company-wide announcements and work-based matters.	This channel is for workspace-wide communication and announcements. All members are in this channeuk
#random	25	Non-work banter and water cooler conversation	A place for non-work-related flimflam, faffing, hodge-podge or jibber-jabber you'd prefer to keep out of more focused work-related channels.
#ntr-discuss	10		General discussion of pending new term requests. Thematic or project-based requests can be put in their own channel.
#mapping-merging	10		A channel to discuss efforts to map to or merge with other terminology resources
#annotation-properties	9		Discussion of best practice with existing APs and suggestions for new ones
#documentation	8		Discussions on envo documentation and the wiki
#papers-and-reading	7		Sharing papers or other references of interest to EnvO development and theory
#website-and-community	7
#axioms	7		Discussion on correct usage of axioms or axiom patterns
#imports	7		discussion on imported ontologies and related coding
#microbiome-annotation	7		For discussion of use of ENVO for microbiome annotation
#cool-environments	6		Discussions or listing of inspiring, fascinating, or shocking environments and related phenomena that we should all know about: devil's gardens, microbursts, and the like
#reasoning	6		discussion of reasoner-linked issues, including errors and unsatisfiable classes
#causal-statements	5	This channel is for posting mini semi-structured causal statements. One day we want to go through and parse/curate these into a knowledge base.	For geneRIF like nanopubby statements about causal environmental relationships. We can later harvest this channel for E-CAMs
#personnel	5		Open Discussion forum for personnel and funding oppertunities.
#releases	4		Preparation for releases
#design-patterns	4		Discuss DPs, primarily DOSDP YAML templates
#makefile	3		discussion on the Makefile
#quality-control	3		Discuss automated and manual QC checks
#robot	2		Discussions on the use of ROBOT (http://robot.obolibrary.org/)
