metpo_id	metpo_label	rank	source	definition	definition_length	source_iri	source_ontology	source_label	match_type	confidence	quality_label	quality_score	total_score
METPO:1000059	phenotype	1	api_search	A (combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.	209	http://purl.obolibrary.org/obo/OGMS_0000023	obi	phenotype	exactMatch	1.0	excellent	10	12.0
METPO:1000059	phenotype	2	api_search	The observable characteristics or traits of an organism, which result from the interaction of its genotype with the environment. Phenotypes can include metabolic, morphological, and behavioral traits.	200	https://purl.dsmz.de/schema/Phenotype	D3O	Phenotype	exactMatch	1.0	excellent	9	11.0
METPO:1000059	phenotype	3	api_search	The assemblage of traits or outward appearance of an individual. It is the product of interactions between genes and between genes and the environment.	151	http://purl.obolibrary.org/obo/ExO_0000101	exo	phenotype	exactMatch	1.0	excellent	8	10.0
METPO:1000059	phenotype	4	api_search	The assemblage of traits or outward appearance of an individual. It is the product of interactions between genes and between genes and the environment.	151	http://purl.obolibrary.org/obo/ExO_0000101	EXO	phenotype	exactMatch	1.0	excellent	8	10.0
METPO:1000059	phenotype	5	sssom	The observable characteristics or traits of an organism, which result from the interaction of its genotype with the environment. Phenotypes can include metabolic, morphological, and behavioral traits.	200	<https://purl.dsmz.de/schema/Phenotype>	d3o	Phenotype	broadMatch	0.392287	excellent	9	9.784574
METPO:1000060	metabolism	1	sssom	quality of metabolic process; The quality of a metabolic process.	65	http://purl.obolibrary.org/obo/OBA_VT0002121	go	metabolism trait	broadMatch	0.273429	good	6	6.546858
METPO:1000060	metabolism	2	sssom	quality of metabolic process; The quality of a metabolic process.	65	http://purl.obolibrary.org/obo/OBA_VT0002121	oba	metabolism trait	broadMatch	0.273429	adequate	4	4.546858
METPO:1000060	metabolism	3	sssom	Processes relating to metabolism and growth.	44	http://purl.obolibrary.org/obo/APO_0000094	apo	metabolism and growth	broadMatch	0.284063	adequate	3	3.568126
METPO:1000127	GC content	1	api_search	A method referring to Gas Chromatography (GC), a technique used to separate and analyze compounds that can be vaporized without decomposition. It is commonly used in chemistry for qualitative and quantitative analysis.	218	https://purl.dsmz.de/schema/gcMethod	D3O	gc Method	closeMatch	0.5263157894736843	excellent	9	10.052631578947368
METPO:1000127	GC content	2	sssom	The percentage of guanine (G) and cytosine (C) bases in a DNA or RNA molecule, often used as an indicator of stability and gene expression potential in a sequence.	163	<https://purl.dsmz.de/schema/GCContent>	d3o	GCContent	broadMatch	0.329668	excellent	9	9.659336
METPO:1000127	GC content	3	api_search	The ability of the items in a measuring instrument or test to adequately measure or represent the content of the property that the investigator wishes to measure.	162	http://purl.obolibrary.org/obo/NCIT_C78690	ncit	Content Validity	closeMatch	0.5384615384615384	good	7	8.076923076923077
METPO:1000127	GC content	4	api_search	A test validity that determine whether it covers a representative sample of the behavior domain to be measured through systematic examination of the test content. For example, does an IQ questionnaire have items covering all areas of intelligence discussed in the scientific literature?	286	http://purl.obolibrary.org/obo/OBCS_0000158	obcs	content validity	closeMatch	0.5384615384615384	good	6	7.076923076923077
METPO:1000127	GC content	5	api_search	The unique identifier for a piece of content such as a document, image, or other media in a specified context.	110	http://purl.obolibrary.org/obo/NCIT_C99023	ncit	Content Identifier	closeMatch	0.5	good	6	7.0
METPO:1000186	material entity	1	sssom	material entity; An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.	161	http://purl.obolibrary.org/obo/BFO_0000040	ecto	material entity	broadMatch	0.469271	good	6	6.938542
METPO:1000232	pH delta	1	api_search	A device that is used to measure the pH (acidity or alkalinity) of a liquid.	76	http://purl.obolibrary.org/obo/OBI_0001047	obi	pH meter	closeMatch	0.625	excellent	8	9.25
METPO:1000232	pH delta	2	api_search	Any process that increases the internal pH of an organism, part of an organism or a cell, measured by the concentration of the hydrogen ion.	140	http://purl.obolibrary.org/obo/GO_0045852	go	pH elevation	closeMatch	0.6	good	7	8.2
METPO:1000232	pH delta	3	api_search	Any process that reduces the internal pH of an organism, part of an organism or a cell, measured by the concentration of the hydrogen ion.	138	http://purl.obolibrary.org/obo/GO_0045851	go	pH reduction	closeMatch	0.5	good	7	8.0
