metpo_id	metpo_label	definition	definition_length	source_iri	source_ontology	source_label	similarity_score	match_type	rank
METPO:1000059	phenotype	Any of the set of observable characteristics of an organism resulting from the interaction of its genotype with the environment.	128	http://purl.obolibrary.org/obo/PHIPO_0000505	upheno	phenotype	0.559612	broadMatch	7
METPO:1000060	metabolism	Processes relating to metabolism and growth.	44	http://purl.obolibrary.org/obo/APO_0000094	apo	metabolism and growth	0.284063	broadMatch	14
METPO:1000127	GC content	The percentage of guanine (G) and cytosine (C) bases in a DNA or RNA molecule, often used as an indicator of stability and gene expression potential in a sequence.	163	<https://purl.dsmz.de/schema/GCContent>	d3o	GCContent	0.329668	broadMatch	1
METPO:1000186	material entity	material entity; An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.	161	http://purl.obolibrary.org/obo/BFO_0000040	ecto	material entity	0.469271	broadMatch	20
METPO:1000304	temperature optimum	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	<https://purl.dsmz.de/schema/OptimumTemperature>	d3o	Optimum Temperature	0.302038	broadMatch	5
METPO:1000331	pH optimum	Optimal growth pH of a microbe	30	<http://purl.jp/bio/10/mpo#MPO_00108>	mpo	Optimal growth pH	0.228817	broadMatch	10
METPO:1000442	temperature optimum low	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	<https://purl.dsmz.de/schema/OptimumTemperature>	d3o	Optimum Temperature	0.202491	broadMatch	5
METPO:1000447	temperature optimum high	The temperature range at which an organism exhibits the most efficient growth and biological activity. This is typically the mid-range temperature between the maximum and minimum limits for growth.	197	<https://purl.dsmz.de/schema/OptimumTemperature>	d3o	Optimum Temperature	0.237398	broadMatch	6
METPO:1000525	microbe	An organism or virus or viron that is too small to be viewed by the unaided eye.	80	http://purl.obolibrary.org/obo/OHMI_0000460	ohmi	microbe	0.436916	broadMatch	8
METPO:1000526	chemical entity	A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.	133	http://purl.obolibrary.org/obo/CHEBI_24431	eupath	chemical entity	0.679622	relatedMatch	6
